g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0.046511628,0,0.057971014,0.067024129,0.066666667,0.032142857,0.018691589,0.026315789,0.023076923,0,0.030647937,0,0.166432072,0.226087937,0.13634544,0.178436421,0.010894653,0.070280196,0.180875343,0,4.065048752,1.851258349
0.023255814,0,0.02173913,0.042895442,0.133333333,0.003571429,0.018691589,0.030364372,0.061538462,0,0.03808195,0,0.09452324,0.171023156,0.080096901,0.005824298,0.019472997,0.22870611,0.362271348,0,3.494827785,1.707570176
0,0,0.025362319,0.050938338,0.133333333,0.017857143,0.009345794,0.062753036,0.169230769,0,0,0,0.044766125,0.115747943,0.048021222,0.029751277,0.006422219,0.447468735,0.30782248,0,3.985056695,1.939519253
0,0,0.003623188,0.008042895,0.066666667,0.025,0.009345794,0.006072874,0,0,0,0,0.00798324,0.048423202,0.006088346,0.801710075,0.009024097,0,0.126771041,0,3.476763538,1.204119983
0.093023256,0.076923077,0.199275362,0.107238606,0.133333333,0.128571429,0.121495327,0.157894737,0.284615385,0.044444444,0.029504777,0.001173531,0.13659666,0.138480276,0.009834521,0.112448047,0.031498357,0.146397012,0.38327089,0.010795928,4.760837504,2.432969291
0,0,0.010869565,0.008042895,0.066666667,0.010714286,0,0,0,0,0,0,0.113537774,0.111115284,0.102955813,0.672391129,0,0,0,0,3.027357763,1
0,0.057692308,0.028985507,0.018766756,0,0.010714286,0.028037383,0.006072874,0.030769231,0,0,0.074146139,0.404689355,0.047548246,0,0.080582988,0.041044091,0.191796077,0.160193105,0,3.21334241,1.491361694
0,0.019230769,0.014492754,0.00536193,0.066666667,0.025,0.009345794,0,0,0,0,0.033745035,0.237238974,0.098187626,0.024166564,0.566968729,0.039693072,0,0,0,3.324270106,1.204119983
0,0,0.028985507,0.00536193,0,0.042857143,0.009345794,0.024291498,0.061538462,0,0,0,0.066122695,0.042642761,0,0.456369789,0.001383688,0.156095147,0.277385919,0,4.076445641,1.633468456
0,0,0.007246377,0.026809651,0.066666667,0.003571429,0,0.004048583,0,0,0,0,0.129935583,0.488367958,0.06688595,0.066537194,0,0,0.248273315,0,3.16504836,1.204119983
0,0,0.072463768,0.048257373,0.066666667,0.064285714,0.018691589,0.010121457,0.023076923,0,0,0,0.139138772,0.205183208,0.039130755,0.497172671,0.040077382,0.043591805,0.035705407,0,4.091635659,1.826074803
